Year,World rank,Company,Country,Region,ISO3 Code,ICB3 short,ICB3 long,R&D (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),R&D-to-capex ratio (%),Operating profit (€million),Operating profit one-year growth (%),Profitability (%),Market capitalisation (€million),Market capitalisation one-year growth (%),Employees,Employees one-year growth (%)
2024,1,"AMAZON.COM, INC.",US,US,USA,ICT services,Software & Computer Services,65318.2819850998,10.3277965022202,614071.614207335,10.9908922466662,10.6369160328987,79891.2311098277,57.4067401240304,13.0100837201137,81.75901294512,66024.6414476851,86.131010528601,10.7519448742004,2220511.38517799,39.0005791637672,1556000.0,2.0327868852459
2024,2,ALPHABET INC.,US,US,USA,ICT services,Software & Computer Services,46131.485224757,9.64789860211878,336912.118586967,13.8662433229016,13.6924386745825,50567.9083646164,62.8941738240674,15.0092280968407,91.2268011801657,108181.730676677,33.3325424412463,32.1097772114576,1064664.94043492,34.6378174644041,183323.0,0.449858083747027
2024,3,"META PLATFORMS, INC.",US,US,USA,ICT services,Software & Computer Services,41985.7541630571,19.5401353832661,158341.51506401,21.9411128078164,26.5159482313178,35861.0068341515,36.6390376292821,22.647886638987,117.079128194116,66407.7389546636,59.3362433312549,41.9395626774305,1228619.59315245,63.4863755758534,74067.0,10.0271848121574
2024,4,MICROSOFT CORPORATION,US,US,USA,ICT services,Software & Computer Services,31271.5372028107,10.0914944086753,271175.281547791,14.932156232407,11.5318538711647,62133.9878717875,45.1334397553792,22.9128508753248,50.3291970689842,123715.468283762,17.4490327414949,45.62195624086,2834358.36898229,15.0744002117213,228000.0,0.0
2024,5,APPLE INC.,US,US,USA,ICT producers,Technology Hardware & Equipment,30195.3989796901,4.86378071201735,376393.300606411,2.02199407751433,8.02229979413608,9093.27172971412,-13.7968792773065,2.41589627526947,332.063088811263,118602.367889113,7.79958180593334,31.5102228700754,3164133.04889762,18.4788202047708,164000.0,1.86335403726708
2024,6,"HUAWEI INVESTMENT & HOLDING CO., LTD.",China,China,CHN,ICT producers,Technology Hardware & Equipment,22941.1997415373,10.5315323328714,113680.323869555,22.4231510961775,20.1804489648197,6919.94250524178,11.6368123218312,6.08719457307513,331.522981934598,9427.42605462002,73.711578180051,8.29292680889767,,,208000.0,0.483091787439614
2024,7,"SAMSUNG ELECTRONICS CO.,LTD.",South Korea,ROW,KOR,ICT producers,Electronic & Electrical Equipment,22842.5036713116,23.4949994572993,196371.701856868,16.1953111766128,11.6322787119099,33551.7769147929,-10.7703486323482,17.0858512695726,68.0813529766896,21359.5020069837,386.674304514882,10.8770774021973,207959.737876634,-32.0088513997234,,
2024,8,VOLKSWAGEN AG,Germany,EU,DEU,Automobiles & Parts,Automobiles & Parts,20998.0,-3.58602323338996,324656.0,0.735996822678135,6.46776896160859,16710.0,14.0380809390568,5.14698634862747,125.661280670257,21761.0,-3.61002834868887,6.70278694987926,27030.226878529,-21.909636751072,666502.0,1.85570917493303
2024,9,JOHNSON & JOHNSON,US,US,USA,Health industries,Pharmaceuticals & Biotechnology,16586.7744730003,12.3118034282739,85495.2353450765,3.04658042809899,19.4008173742696,4258.35017807296,-2.61941448382122,4.98080408912307,389.511754068716,15732.0242564251,-54.598738853857,18.4010538048435,335153.119956751,-7.13940842921615,138100.0,4.70053070507961
2024,10,INTEL CORP,US,US,USA,ICT producers,Technology Hardware & Equipment,15926.4606795649,3.11604138102912,51112.7153720281,-2.07826215239363,31.1594885218734,23047.4540379247,-7.01359223300983,45.0914295399333,69.1029067824925,-8026.75907209549,-7680.90909090907,-15.7040357055423,83237.7369561926,-58.9249603155942,108900.0,-12.7403846153846
